"回答日時","受付番号","回答ユーザ","第２回:キーワード①","第２回:キーワード②","第２回:キーワード③","第２回:キーワード④","第２回:キーワード⑤"
"2022/04/28 23:41","6978","22022075","常に情報に耳を傾ける","心に余裕をもてるようにする","自分を磨いて仕事を磨く","忙しくて周りが見えていなくても、そのことを自覚すること","会話と対話"
"2022/04/28 23:41","6977","26020206","異なる国のモノの動きを仲介する","ファイナンスの知識は何歳でも必要","商売が好きな人の方が商社はやりやすい","情報を見逃さない","失敗してもくよくよしない"
"2022/04/28 23:41","6976","25021548","三方よし","毎日成長","心の余裕","関わってくれる人の喜び","前向きな塞翁が馬"
"2022/04/28 23:40","6975","31022540","しんどくなった時にこそ初心に戻る","社会のためにならなければ儲かることは続かない","これから自分に来る試練も将来のチャンスだと思う","常に周りへのアンテナを立てておく","周りが見えなくなる前に自覚をもつ"
"2022/04/28 23:40","6974","24020816","自分にとっての宝になるような情報が埋もれてる 見過ごしがちな情報の中に","自覚するのかしていないのかが人間の差","自分がなりがちなことを設定し、外の目をもって気づく、","忙しいと言っているのは心を無くしているのと同じ。相手に対する思いやり","会話と対話の考え方"
"2022/04/28 23:40","6973","27020472","情報を見逃さない","余裕を持つ","休むことも重要","対話が大切","やり続けること"
"2022/04/28 23:39","6972","34021003","情報発信をチェックする","自分が楽しめる仕事を選ぶ","身近な人を気遣う","対話力をつける","前向きになって、自分なりのストレス発散方法を見つける"
"2022/04/28 23:39","6971","39022021","色々な情報をキャッチする","心の余裕を持つ","自分を知り、相手を知る","好きなことに情熱を注ぐ","落ち込んでも反省して立ち上がる"
"2022/04/28 23:39","6970","26020413","人との関わり","持続性","人間万事塞翁が馬","悪いことは自分を美味しくしてくれる","前向きに捉える"
"2022/04/28 23:39","6969","24022797","勉強は最前列で","基本的にハッピー","発信されている情報を得る","心のキャパシティーを持って","前向きな塞翁が馬"
"2022/04/28 23:38","6968","25021100","やり甲斐は人本位であるという事","情報は多く浴び、選ぶこと","海外規模では様々な考えがあること","商社は価値のある勤め先である","社会学部での学び"
"2022/04/28 23:38","6967","24022208","自分で探し出す","諦めない","心の余裕","思いやり","柔軟に対応"
"2022/04/28 23:38","6966","22021623","情報を意識して取り入れる","心の余裕を常に持つ","自分の在り方を決める","人との関わり合いを大切にする","よりたくさんの人と対話する"
"2022/04/28 23:38","6965","29021076","目配り","情報収集","自覚","人との関わり","巻き込む、惹きつける"
"2022/04/28 23:37","6963","22021619","自分が興味のない情報でも自分の将来を左右する情報が埋もれている","仕事が大変になると、心の余裕がなくなり、周りが見えなくなったことが失敗","忙しくなると周りが見えなくなることを自覚して、外の目を持って気づくことが大切","前向きな塞翁が馬","予測できない良くないことが起きても、どう対処するかを諦めず考え続ければ、新たな発見があるかもしれない"
"2022/04/28 23:37","6962","22020920","いろんな部署が横断的に","見過ごしがち","自分が主体になり商売をお客様と共に創る（商社）","～しがちなことを理解しておく","忙しいと言わない"
"2022/04/28 23:37","6961","22020680","大学からの情報を見落とさない","どんなに忙しくても心の余裕を持つ","自分のことを知ることと相手のことを知ることを大切にする","悩みすぎず、自分の気分転換の方法を持つ","対話をする事を大切にする"
"2022/04/28 23:37","6959","25020532","英語の必要性","情報の取捨選択の大切さ","就活におけるインターンシップの重要性","自分自身の中にある余裕がいいように伝染する","自分のしたいことを追求することの大切さ"
