担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,参考情報, ,NGワード数,NGワード一覧,再履修
森,22021535,前向きな塞翁が馬,心の余裕,相手を知る,休憩は大事,悩みすぎない, , , ,,, , ,0,, 
森,22021547,前向きな人間万事塞翁が馬,自分が忙しいと周りに目がいかなくなることを自覚する,仕事のやりがいは関わってくれている人たちが喜んでくれること,嫌なことも自分の味を美味しくするものだと前向きに考え本当に嫌なものであればやめてもいい,精一杯楽しむこと, , , ,,, , ,0,, 
森,22021548,忙しい時こそ周りのことを見て相手の人のことを考え動く,仕事において違うバックグラウンドを持つ人と関わる際にまず自分のことを知る必要がある,自分に合った気分転換の方法を知っておくべきである,自分を磨くと同時に仕事を磨き自分を鍛え上げる必要がある,生きていく中で色々なことが起こるが精一杯楽しみまた嫌なことがあれば自分を成長させるものと考えるべき, , , ,,, , ,0,, 
森,22021554,前向きな塞翁が馬,心の余裕,対話,信頼,情報のチェック, , , ,,, , ,0,, 
森,22021568,商社は何でも屋,飛び級制度で3年で大学院に進学,180社ほど会社を見比べた,心の余裕は重要,人間万事塞翁が馬, , , ,,, , ,0,, 
森,22021586,一千万トンあるプラスチックを再生可能にすることが将来性ある”SDGs”の体現することである。,”社会”全体がなんでこうなっているのか、人と人が”社会”をどう作っているのかという視点が大切である。,どの業種にするのかを決める際に”主体”というキーワードがキャリア選択の鍵となっている。,”心の余裕”というのは体の余裕よりも大切なことであり、全体に影響を及ぼす要素である。,関わってくれる人たちが喜ぶというのがあると考えており、その喜びというのが仕事の原動力となっている。, , , ,,, , ,0,, 
森,22021606,中国の社長,プラスチック,リサイクル,180社のインターンに出向いた,真理はなんぢらに自由を得さすべし, , , ,,, , ,0,, 
森,22021614,商社は自分で商売をする。,伊藤忠商事に入るための最終面接ではカナダに行ったことが評価された。,博士課程に進んでもお金が稼げないから商社を選んだ。,商社の向き不向きはないが、商売が好きな人はやりやすい。,良いアイデアを持つためには休憩も大事で炭酸水を飲んでいる。, , , ,,, , ,0,, 
森,22021628,大学からの情報発信に注意を向ける。,自分から前向きに分からないことでも調べていく。,忙しい時は自分ばかりに集中し、周りが見えなくなる傾向があるが、その時こそ周りをしっかり見る。,商売はお金の為だけではなく、社会のためにならないと続かない。,辛い時や、壁に当たった時は、それらは自分自身を美味しくさせるものだと考え前向きに努力する。, , , ,,, , ,0,, 
森,22021640,前向きな塞翁が馬,留学,伊藤忠,商社,何があってもあきらめない対応力, , , ,,, , ,0,, 
森,22021641,環境ビジネス,現場に足を運ぶ大切さ,会話と対話,心の余裕,自分で商売を立ち上げ、大きくしていく, , , ,,, , ,0,,再履修
森,22021646,前向きな塞翁が馬,商売,忙しいのは心を亡くしている状態,ブランディング,対話と会話の違い, , , ,,, , ,0,, 
森,22021655,興味がない情報にこそ自分にとって宝の情報が埋もれている。,自分ばかり見ているのではなく、常に外の目を持ち変化に気づけるようにする。,「忙しい」と言う＝心を亡くしている状態と同じ。人のためにもできるだけ言わないようにするべき。,一時的に儲かる商いは世の中にたくさんある。しかしそれは、社会のためにならなければ続かない。,よくないことだと思っていても時間が経てば良いことだったと思えることもある。, , , ,,, , ,0,, 
森,22021664,情報確認,掲示板の情報を見た,多くの会社から吟味,自分に合った会社,前向きな〇〇, , , ,,, , ,0,,再履修
森,22021676,貿易実務,コンサルタント,三国貿易,環境ビジネス,ファイナンススキル, , , ,,, , ,0,, 
森,22021692,プラスチック,グローバル,裁量が多い,貿易実務,飛び級, , , ,,, , ,0,, 
森,22021698,180社見て回った。,2月から4月の間就活した。,社会を知りたいと思った。,社会の流れが知りたいから社会学部を選んだ。,社会学部の授業はどれも楽しかった。今でも受けたいぐらい。, , , ,,, , ,0,, 
森,22021699,*小さいところから将来的には大きな可能性となる,*自分で商売していくことに魅力を感じたという理由から多くの企業を回った上で商社で働くことに決めた,*体よりも心の余裕を無くす方が仕事が回らなくなるため、心のキャパシティを持っておくことが大事,様々な国へ実際に出向き互いに納得のいくものを作りあげて関わる人が喜んでいるのを見るとやりがいを感じる,世界を相手にすると背景が異なる人と関わることになるためまずは自分を知りそして相手を知るように心がける, , , ,,, , ,0,, 
森,22021706,全体の中で物事を考える,グローバルに活躍する,自分が成長しているのを自分で認識する,態度を自分自身で見直す,忙しいと言うことは心を失ってゆくこと, , , ,,, , ,0,,再履修
森,22021714,物事は何がいいか悪いかわからないから、もし失敗しても反省してすぐに立ち上がるといいことに繋がる。,ワクワクすること、自分のやりたいことをする。,どんな形であっても自分の力でやってみる。途中で辞めることは勿体無い。,掲示板など普段なら見たいところに向けると新しいことを発見できるかもしれない。,卒論のためにコンビニのバイトを始めるなど、目標、目的のために何かを始めることの重要性。, , , ,,, , ,0,, 
森,22021718,インスピレーション,心の余裕,自分を知り相手を知る,人としての成長,塞翁が馬, , , ,,, , ,0,, 
森,22021750,対話と会話のちがい,何にワクワクするか,情報を敏感にキャッチすること,新社会人は電話をよくとらされる,状況が暗転しても、創意工夫でやれることはある, , , ,,, , ,0,, 
森,22021759,商社,モニュメント,自分が主体になって商売を作っていく,貿易実務,環境ビジネス, , , ,,, , ,0,, 
森,22021830,商売,会話と対話,留学,英語,社会, , , ,,, , ,0,, 
森,22021843,自分たちは見過ごしがちである,自分の味をおいしくする,社会のためにならないと商売はできない,ビジネス,人間万事塞翁が馬から前向きが塞翁が馬, , , ,,, , ,0,, 
森,22021844,人間万事塞翁が馬,心の余裕,奉仕のための練達,情報収集,信頼関係, , , ,,, , ,0,, 
森,22022005,伊藤忠商事では様々なことをグローバルに展開し、社風は従業員数は少ないため一人当たりの裁量が大きい。,各国の人に会えたり、部署間での横断的な仕事もある。商社のイメージとして、全員が何でも屋さんではない。,入社して数年間は何かの専門の知識をつける、その後、創り上げる段階に入った。また商社の教育は手厚い。,機械慣れした方が良く、今は在宅勤務が進んでいる。商社は自分が主体となって商売をする。,大学の情報をしっかりcheckすることが大事であり、忙しい時こそ、自分を客観視することが大事。, , , ,,, , ,0,,再履修
森,22022009,mastaryforservice,環境ビジネス,前向きな塞翁が馬,忙しくても心の余裕を保つ,会話だけでなく対話もできるようになる, , , ,,, , ,0,, 
森,22022016,持続可能な環境ビジネス,大学が発信している情報を見逃さない,大学院に飛び級ができる,仕事の姿勢は前向きに,奉仕を意識しながら自分を鍛える, , , ,,, , ,0,, 
森,22022018,前向きな塞翁が馬,忙しい自分、余裕のない自分を自覚することで自分の行動を改善することができる。,スープも意外なものが入っている方が美味しいように、嫌なこともも自分の力になる,自分のこと、相手のことをしること、お互いにとっていいことを模索していく,仕事のやりがいは関わっている人が喜んでくれること, , , ,,, , ,0,, 
森,22022020,前向きな塞翁が馬,心の余裕をもつ,バックグラウンドが違うため、まず自分のことを知り、相手のことも知る。,自分と相手は違うという前提をもつ。,適度に休憩をとる。リフレッシュを大切にする。, , , ,,, , ,0,,再履修
森,22022043,良いところを使いながら、悪いところを改善する,商社は自分が主体である（一部コンサルの内容も含む）,身体の余裕をなくすよりも、心の余裕をなくす方が大変である（森先生の補足：忙しい＝心を亡くす）,世界を相手にした姿勢には、自分と相手のお互いについて知ることが求められる,人生万事塞翁が馬、嫌なことは長くは続かない, , , ,,, , ,0,, 
森,22022046,商売は社会のためにならないと続かない,悪いこと、マイナスなことが起きてもそれを前向きに捉えること,忙しき時も外の目を持ち自分が周りを見れていないことを気づくこと,自分にとって宝物のような情報を見逃しがちなので情報を上手く得ること。,嫌なことがあってもあまりくよくよしすぎない, , , ,,, , ,0,,再履修
森,22022059,大学からの情報をキャッチすること,心の余裕がなくなった事に自分で気づけること,前向きな人間万事塞翁が馬,悩んだときに沼から抜け出すリセット方法を知ること,休憩や気分転換を大事にすること, , , ,,, , ,0,, 
森,22022061,心の余裕を持つために相手を見ることが大事,飛び級制度も掲示板を見ていないと分からなかったのでkwicからの連絡をよく見ておくこと,前向きな塞翁が馬,バックグラウンドが違う人と触れ合うことも多いからまずは自分のことを知ってその後相手のことを知る,コンビニのアルバイトを通して社会人の在り方や働くことがどういうことなのか学び良い社会経験になった, , , ,,, , ,0,,再履修
森,22022063,商社は、個々の会社でやっていることをひとつにする。いろんな領域で組み立てていく。,コンビニバイトでもいい社会経験になる。経験はすべてつながっている。,海外経験が重要である。余裕があるなら留学をする。,善意は役立たない。,いやなことは長くは続かない。, , , ,,, , ,0,,再履修
森,22022064,SDGs,環境ビジネス,飛び級制度,会話と対話,情報のキャッチ, , , ,,, , ,0,, 
